id,ms,x,y,z
668,13501,0.34,0.52,9.02
669,13518,0.15,0.67,9.73
670,13534,0.15,0.67,9.83
671,13550,0.23,0.57,9.41
672,13566,0.17,0.33,9.18
673,13582,0.29,0.27,9.62
674,13599,0.13,0.23,9.45
675,13615,0.0,0.04,10.04
676,13632,0.15,0.06,9.64
677,13652,0.1,0.29,9.6
678,13669,0.17,0.36,9.56
679,13685,0.27,0.54,9.29
680,13702,0.02,0.86,9.66
681,13718,0.17,0.92,9.16
682,13734,0.11,0.79,9.79
683,13751,0.27,0.94,9.22
684,13767,0.23,0.84,9.16
685,13784,0.04,0.23,9.6
686,13800,0.42,0.44,9.37
687,13817,0.06,0.63,9.43
688,13833,0.19,0.25,9.48
689,13849,0.34,0.44,9.69
690,13866,0.11,0.56,9.62
691,13882,0.19,0.59,9.6
692,13899,0.19,0.63,9.52
693,13918,0.25,0.44,9.35
694,13935,0.19,0.5,9.14
695,13951,0.08,0.56,9.85
696,13967,0.06,0.5,10.02
697,13984,0.33,0.5,9.12
698,14000,0.21,0.52,9.66
699,14017,0.23,0.31,9.67
700,14033,0.11,0.29,9.62
701,14050,0.25,0.33,9.98
702,14066,0.25,0.4,9.67
703,14083,0.17,0.42,9.58
704,14099,0.19,0.52,9.45
705,14119,0.31,0.48,9.56
706,14136,0.21,0.33,9.54
707,14152,0.17,0.33,9.83
708,14169,0.13,0.46,9.54
709,14185,0.17,0.4,9.31
710,14202,0.17,0.4,9.85
711,14218,0.34,0.4,9.48
712,14234,0.19,0.54,9.27
713,14251,0.1,0.46,9.41
714,14267,0.25,0.19,10.15
715,14284,0.34,0.13,9.83
716,14299,0.31,0.17,9.45
717,14320,0.11,0.29,8.95
718,14336,0.1,0.17,10.04
719,14353,0.21,0.25,9.85
720,14369,0.06,0.21,9.75
721,14385,0.17,0.33,9.39
722,14402,0.19,0.4,9.58
723,14418,0.08,0.38,9.66
724,14435,0.31,0.36,9.37
725,14451,0.21,0.13,9.58
726,14468,0.4,0.29,9.5
727,14484,0.27,0.23,9.5
728,14504,0.15,0.25,9.33
729,14521,0.21,0.15,9.67
730,14537,0.04,0.06,9.89
731,14554,0.17,0.13,9.5
732,14570,0.19,-0.04,9.75
733,14587,0.19,-0.06,9.64
734,14603,0.21,0.15,9.69
735,14619,0.21,0.48,9.87
736,14640,1.78,-1.61,16.42
737,14660,-9.33,10.59,4.37
738,14676,5.86,1.8,14.08
739,14692,2.34,-0.08,11.78
740,14713,2.39,1.36,9.5
741,14729,1.46,0.73,8.76
742,14746,0.57,0.92,9.96
743,14762,0.15,0.75,9.5
744,14779,-0.79,0.13,9.87
745,14799,-2.39,-0.23,10.31
746,14816,1.9,0.42,8.91
747,14832,-0.06,0.52,9.96
748,14853,-0.69,0.54,10.02
749,14869,1.26,0.42,9.0
750,14885,-0.33,0.1,9.6
751,14902,0.38,0.25,9.06
752,14918,0.56,0.21,9.5
753,14939,0.13,0.11,10.04
754,14955,0.44,0.36,9.35
755,14972,0.17,0.27,9.29
756,14988,0.08,0.25,9.73
757,15004,0.44,0.29,9.54
758,15021,0.04,0.25,9.96
759,15036,0.06,0.36,9.71
760,15053,0.17,0.27,9.5
761,15069,0.08,0.59,9.92
762,15086,0.11,0.08,9.75
763,15102,0.29,0.11,9.6
764,15119,0.08,0.23,9.85
765,15135,0.38,0.23,9.73
766,15151,0.13,0.27,9.83
767,15172,0.15,0.21,9.89
768,15188,0.38,0.33,9.31
769,15205,0.25,0.38,9.73
770,15221,0.13,0.36,9.67
771,15238,0.46,0.13,9.39
772,15254,0.02,0.27,9.83
773,15270,0.21,0.23,9.64
774,15287,0.02,0.08,9.75
775,15303,0.08,0.11,9.85
776,15320,0.23,0.08,9.58
777,15336,0.17,0.0,9.89
778,15353,0.36,0.1,9.39
779,15369,0.25,0.29,9.31
780,15385,0.11,0.11,9.62
781,15402,0.1,0.06,9.75
782,15417,0.11,0.1,9.5
783,15438,0.19,0.17,9.62
784,15454,0.1,0.25,9.69
785,15471,0.13,0.21,9.54
786,15487,0.19,0.17,9.64
787,15504,0.11,0.11,9.81
788,15520,0.17,0.34,9.02
789,15536,0.19,0.46,9.35
790,15553,0.25,0.19,9.2
791,15569,0.13,0.33,9.64
792,15586,0.11,0.02,9.67
793,15602,0.27,-0.17,9.64
794,15623,0.31,-0.1,9.64
795,15639,0.33,-0.17,9.67
796,15655,0.08,0.13,9.52
797,15672,0.11,0.29,9.64
798,15688,0.21,0.23,9.87
